Year,Countries,Values
2001,Croatia,1116.3927
2002,Croatia,1066.2215
2003,Croatia,1203.1035
2004,Croatia,1061.3887
2005,Croatia,1080.3177
2006,Croatia,1082.5277
2007,Croatia,1147.7142
2008,Croatia,1103.8109
2009,Croatia,1099.6123
2010,Croatia,1018.4316
2011,Croatia,1204.0032
2012,Croatia,1182.2766
2013,Croatia,1036.6681
2014,Croatia,1015.5527
2015,Croatia,1146.281
1986,Hungary,1256.0206
1987,Hungary,1172.4946
1988,Hungary,1225.9372
1989,Hungary,1223.1533
1990,Hungary,1254.72
1991,Hungary,1220.1779
1992,Hungary,1301.2965
1993,Hungary,1209.8012
1994,Hungary,1231.7133
1995,Hungary,1177.842
1996,Hungary,1134.6145
1997,Hungary,1252.1172
1998,Hungary,1214.5162
1999,Hungary,1168.5928
2000,Hungary,1297.5688
2001,Hungary,1204.6562
2002,Hungary,1200.0451
2003,Hungary,1291.0864
2004,Hungary,1173.9067
2005,Hungary,1190.0735
2006,Hungary,1179.6311
2007,Hungary,1261.1421
2008,Hungary,1229.3837
2009,Hungary,1208.3033
2010,Hungary,1133.7526
2011,Hungary,1297.9769
2012,Hungary,1285.849
2013,Hungary,1143.8091
2014,Hungary,1165.7876
2015,Hungary,1226.9922
1986,Ireland,774.7151
1987,Ireland,754.9205
1988,Ireland,754.8317
1989,Ireland,782.7583
1990,Ireland,773.7241
1991,Ireland,768.617
1992,Ireland,776.3418
1993,Ireland,712.1039
1994,Ireland,721.7136
1995,Ireland,804.858
1996,Ireland,762.4572
1997,Ireland,737.8543
1998,Ireland,729.9645
1999,Ireland,745.6435
2000,Ireland,788.1336
2001,Ireland,807.065
2002,Ireland,756.4799
2003,Ireland,822.3898
2004,Ireland,811.1882
2005,Ireland,724.0828
2006,Ireland,747.3235999999999
2007,Ireland,782.5496
2008,Ireland,730.8686
2009,Ireland,767.9998
2010,Ireland,850.433
2011,Ireland,781.4623
2012,Ireland,719.9991
2013,Ireland,734.3924
2014,Ireland,764.9596
2015,Ireland,790.3386
1986,Italy,1212.4878
1987,Italy,1191.326
1988,Italy,1210.8106
1989,Italy,1258.5092
1990,Italy,1240.8856
1991,Italy,1216.9384
1992,Italy,1223.2623
1993,Italy,1235.6859
1994,Italy,1226.0863
1995,Italy,1207.5102
1996,Italy,1135.4969
1997,Italy,1279.7779
1998,Italy,1268.9698
1999,Italy,1210.7123
2000,Italy,1242.6036
2001,Italy,1238.6246
2002,Italy,1180.8316
2003,Italy,1270.179
2004,Italy,1194.7984
2005,Italy,1204.4179
2006,Italy,1226.842
2007,Italy,1259.4476
2008,Italy,1195.9096
2009,Italy,1213.8621
2010,Italy,1153.5517
2011,Italy,1297.603
2012,Italy,1256.9788
2013,Italy,1147.3131
2014,Italy,1167.5249
2015,Italy,1251.0968
1986,Lithuania,830.7272
1987,Lithuania,833.7499
1988,Lithuania,807.1893
1989,Lithuania,792.987
1990,Lithuania,801.0929
1991,Lithuania,826.1712
1992,Lithuania,852.2516
1993,Lithuania,787.7566
1994,Lithuania,822.7522
1995,Lithuania,807.0182
1996,Lithuania,841.4659
1997,Lithuania,808.8489
1998,Lithuania,777.169
1999,Lithuania,854.757
2000,Lithuania,854.78
2001,Lithuania,796.511
2002,Lithuania,895.7718
2003,Lithuania,834.0582
2004,Lithuania,805.2671
2005,Lithuania,851.3389
2006,Lithuania,835.5105
2007,Lithuania,820.7312
2008,Lithuania,759.0168
2009,Lithuania,823.6101
2010,Lithuania,803.1103
2011,Lithuania,856.2416
2012,Lithuania,801.4476
2013,Lithuania,785.0103
2014,Lithuania,861.8804
2015,Lithuania,850.3429
1986,Luxembourg,1014.5909
1987,Luxembourg,959.5321
1988,Luxembourg,962.4469
1989,Luxembourg,1029.1616
1990,Luxembourg,1004.6495
1991,Luxembourg,1053.9147
1992,Luxembourg,999.7459
1993,Luxembourg,973.5287
1994,Luxembourg,952.5993
1995,Luxembourg,959.8751
1996,Luxembourg,976.8032
1997,Luxembourg,1058.6077
1998,Luxembourg,912.8185
1999,Luxembourg,999.9502
2000,Luxembourg,947.8204
2001,Luxembourg,989.9476
2002,Luxembourg,972.8703
2003,Luxembourg,1175.6455
2004,Luxembourg,1009.0727
2005,Luxembourg,1000.6971
2006,Luxembourg,988.1097
2007,Luxembourg,1027.3912
2008,Luxembourg,933.8673
2009,Luxembourg,995.4693
2010,Luxembourg,985.9828
2011,Luxembourg,1061.8672
2012,Luxembourg,984.4732
2013,Luxembourg,890.5544
2014,Luxembourg,991.2362
2015,Luxembourg,1012.667
1986,Latvia,813.8778
1987,Latvia,826.9263
1988,Latvia,785.1962
1989,Latvia,774.2771
1990,Latvia,767.2503
1991,Latvia,779.1004
1992,Latvia,809.0732
1993,Latvia,774.7788
1994,Latvia,798.0734
1995,Latvia,795.7638
1996,Latvia,833.2963
1997,Latvia,804.7741
1998,Latvia,754.1884
1999,Latvia,836.5957
2000,Latvia,811.2368
2001,Latvia,784.1736
2002,Latvia,882.6265
2003,Latvia,792.8417
2004,Latvia,789.5898
2005,Latvia,836.6888
2006,Latvia,843.2881
2007,Latvia,815.0858
2008,Latvia,731.8965
2009,Latvia,796.6968
2010,Latvia,795.042
2011,Latvia,862.9298
2012,Latvia,773.4191
2013,Latvia,797.6601
2014,Latvia,833.3743
2015,Latvia,813.9236
1986,Montenegro,1328.9428
1987,Montenegro,1304.7468
1988,Montenegro,1322.3983
1989,Montenegro,1384.8801
1990,Montenegro,1377.2345
1991,Montenegro,1315.1981
1992,Montenegro,1396.2203
1993,Montenegro,1387.1563
1994,Montenegro,1356.6396
1995,Montenegro,1289.2612
1996,Montenegro,1218.2457
1997,Montenegro,1371.6695
1998,Montenegro,1359.6288
1999,Montenegro,1300.4874
2000,Montenegro,1436.75
2001,Montenegro,1330.3846
2002,Montenegro,1302.0769
2003,Montenegro,1372.5605
2004,Montenegro,1302.233
2005,Montenegro,1305.2467
2006,Montenegro,1319.9947
2007,Montenegro,1361.0297
2008,Montenegro,1322.2799
2009,Montenegro,1286.0043
2010,Montenegro,1239.7008
2011,Montenegro,1421.6999
2012,Montenegro,1386.7172
2013,Montenegro,1278.2585
2014,Montenegro,1263.4055
2015,Montenegro,1379.0207
1986,North Macedonia,1407.8951
1987,North Macedonia,1391.076
1988,North Macedonia,1453.1243
1989,North Macedonia,1538.7222
1990,North Macedonia,1525.4252
1991,North Macedonia,1387.7621
1992,North Macedonia,1516.1166
1993,North Macedonia,1496.7881
1994,North Macedonia,1471.0109
1995,North Macedonia,1422.4669
1996,North Macedonia,1310.5459
1997,North Macedonia,1475.1178
1998,North Macedonia,1462.3438
1999,North Macedonia,1450.6615
2000,North Macedonia,1542.7668
2001,North Macedonia,1459.668
2002,North Macedonia,1386.3096
2003,North Macedonia,1426.833
2004,North Macedonia,1438.4538
2005,North Macedonia,1440.9855
2006,North Macedonia,1405.3543
2007,North Macedonia,1466.1056
2008,North Macedonia,1443.4186
2009,North Macedonia,1398.4448
2010,North Macedonia,1384.6839
2011,North Macedonia,1477.1826
2012,North Macedonia,1468.0433
2013,North Macedonia,1447.37
2014,North Macedonia,1369.5126
2015,North Macedonia,1466.4486
1986,Netherlands,1003.8461
1987,Netherlands,927.1813
1988,Netherlands,908.7058
1989,Netherlands,1009.6338
1990,Netherlands,985.963
1991,Netherlands,1001.0381
1992,Netherlands,994.3685
1993,Netherlands,922.5352
1994,Netherlands,945.6191
1995,Netherlands,1016.1563
1996,Netherlands,952.0952
1997,Netherlands,980.0968
1998,Netherlands,864.3647
1999,Netherlands,989.8254
2000,Netherlands,917.1627
2001,Netherlands,949.6657
2002,Netherlands,959.2795
2003,Netherlands,1093.9902
2004,Netherlands,980.1746
2005,Netherlands,987.2995
2006,Netherlands,945.6931
2007,Netherlands,957.5110999999999
2008,Netherlands,952.2015
2009,Netherlands,981.8808
2010,Netherlands,965.1281
2011,Netherlands,1006.6105
2012,Netherlands,928.1488
2013,Netherlands,905.0648
2014,Netherlands,978.2827
2015,Netherlands,1002.4856
1986,Norway,445.2416
1987,Norway,432.1492
1988,Norway,429.2132
1989,Norway,453.2348
1990,Norway,446.0158
1991,Norway,460.9543
1992,Norway,466.1703
1993,Norway,466.1357
1994,Norway,461.1107
1995,Norway,443.9691
1996,Norway,446.3411
1997,Norway,497.7584
1998,Norway,397.9928
1999,Norway,436.925
2000,Norway,410.2504
2001,Norway,435.4922
2002,Norway,451.3776
2003,Norway,454.6771
2004,Norway,448.504
2005,Norway,439.2821
2006,Norway,452.7338
2007,Norway,446.3718
2008,Norway,448.8965
2009,Norway,441.1141
2010,Norway,469.9214
2011,Norway,428.4437
2012,Norway,418.6141
2013,Norway,439.8749
2014,Norway,453.0425
2015,Norway,452.7595
1986,Poland,939.0758
1987,Poland,853.2297
1988,Poland,894.295
1989,Poland,912.1289
1990,Poland,907.428
1991,Poland,899.68
